ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Geburtsverlauf;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;2;2017-11-05 13:02:00;2017-11-06 01:08:00;;4;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;ja;1;2017-11-08 23:16:00;2017-11-09 04:30:00;;0;nein;;
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-01 23:13:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-02 01:58:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-02 13:48:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-02 16:37:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-02 18:43:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-03 06:35:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-03 10:21:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-05 11:26:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-22 19:48:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-25 09:53:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-11-09 01:41:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-24 11:13:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-28 06:02:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-28 22:08:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-29 13:59:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-29 22:47:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-30 07:07:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA1h;2017-10-30 11:36:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-11-03 11:21:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-11-03 16:10:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-11-03 22:44:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-10-25 10:53:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-11-09 02:41:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-10-24 12:12:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-10-29 14:57:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-10-29 23:46:00
2641;Faerse;ja;2017-11-09 04:30:00;2017-11-09 04:50:00;2;nein;;;;;;ja;HA2h;2017-10-30 12:23:00
2650;Faerse;ja;2017-11-11 08:30:00;2017-11-11 10:45:00;3;ja;1;2017-11-11 05:07:00;2017-11-11 08:30:00;2017-11-11 09:35:00;1;nein;;
2650;Faerse;ja;2017-11-11 08:30:00;2017-11-11 10:45:00;3;nein;;;;;;ja;HA1h;2017-11-11 07:49:00
2650;Faerse;ja;2017-11-11 08:30:00;2017-11-11 10:45:00;3;nein;;;;;;ja;HA2h;2017-11-11 08:49:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;ja;3;2017-11-07 00:33:00;2017-11-07 07:10:00;;2;nein;;
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;ja;4;2017-11-07 07:11:00;2017-11-08 11:25:00;;2;nein;;
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;ja;4;2017-11-08 12:07:00;2017-11-08 13:25:00;;2;nein;;
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;ja;4;2017-11-08 13:26:00;2017-11-08 15:06:00;;2;nein;;
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;ja;1;2017-11-08 23:11:00;2017-11-09 11:30:00;2017-11-09 13:17:00;0;nein;;
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA1h;2017-11-07 00:34:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA1h;2017-11-07 11:07:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA1h;2017-11-08 15:01:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA1h;2017-11-09 06:01:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA1h;2017-11-09 10:22:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA2h;2017-11-07 01:34:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA2h;2017-11-08 16:01:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA2h;2017-11-09 07:01:00
2658;Faerse;ja;2017-11-09 11:30:00;2017-11-09 14:15:00;3;nein;;;;;;ja;HA2h;2017-11-09 11:22:00
2581;Faerse;ja;2017-10-10 12:40:00;2017-10-10 12:50:00;2;ja;1;2017-10-09 21:08:00;2017-10-10 12:40:00;;;nein;;
2581;Faerse;ja;2017-10-10 12:40:00;2017-10-10 12:50:00;2;nein;;;;;;ja;HA1h;2017-10-10 08:21:00
2581;Faerse;ja;2017-10-10 12:40:00;2017-10-10 12:50:00;2;nein;;;;;;ja;HA1h;2017-10-10 12:28:00
2581;Faerse;ja;2017-10-10 12:40:00;2017-10-10 12:50:00;2;nein;;;;;;ja;HA2h;2017-10-10 09:21:00
2581;Faerse;ja;2017-10-10 12:40:00;2017-10-10 12:50:00;2;nein;;;;;;ja;HA2h;2017-10-10 13:51:00
2545;Faerse;ja;2017-09-30 20:30:00;2017-09-30 23:15:00;1;ja;2;2017-09-29 16:10:00;2017-09-29 16:30:00;;;nein;;
2545;Faerse;ja;2017-09-30 20:30:00;2017-09-30 23:15:00;1;ja;2;2017-09-29 17:10:00;2017-09-30 09:00:00;;;nein;;
2545;Faerse;ja;2017-09-30 20:30:00;2017-09-30 23:15:00;1;ja;1;2017-09-30 09:40:00;2017-09-30 20:30:00;;;nein;;
2545;Faerse;ja;2017-09-30 20:30:00;2017-09-30 23:15:00;1;nein;;;;;;ja;HA1h;2017-09-30 20:01:00
2545;Faerse;ja;2017-09-30 20:30:00;2017-09-30 23:15:00;1;nein;;;;;;ja;HA2h;2017-09-30 21:00:00
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;ja;4;2017-12-15 13:55:00;2017-12-15 22:00:00;;2;nein;;
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;ja;4;2017-12-15 22:01:00;2017-12-16 07:03:00;;1;nein;;
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;ja;4;2017-12-16 07:04:00;2017-12-16 10:05:00;;1;nein;;
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;ja;4;2017-12-16 10:06:00;2017-12-16 17:03:00;;1;nein;;
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;ja;4;2017-12-16 17:04:00;2017-12-16 22:00:00;;1;nein;;
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;ja;1;2017-12-16 22:01:00;2017-12-16 23:30:00;;1;nein;;
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;nein;;;;;;ja;HA1h;2017-12-16 10:05:00
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;nein;;;;;;ja;HA1h;2017-12-16 21:31:00
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;nein;;;;;;ja;HA2h;2017-12-16 11:05:00
2712;Faerse;ja;2017-12-16 23:30:00;2017-12-17 01:50:00;3;nein;;;;;;ja;HA2h;2017-12-16 22:31:00
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;4;2017-12-17 01:05:00;2017-12-17 06:02:00;;1;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;3;2017-12-17 06:03:00;2017-12-17 09:03:00;;1;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;4;2017-12-17 09:04:00;2017-12-17 12:04:00;;2;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;4;2017-12-17 12:05:00;2017-12-17 13:07:00;;2;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;4;2017-12-17 13:08:00;2017-12-17 15:03:00;;2;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;4;2017-12-17 15:04:00;2017-12-17 16:04:00;;2;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;4;2017-12-17 16:05:00;2017-12-17 17:05:00;;2;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;4;2017-12-17 17:06:00;2017-12-17 18:01:00;2017-12-17 18:58:00;4;nein;;
2737;Faerse;ja;2017-12-21 12:38:00;2017-12-21 13:05:00;1;ja;1;2017-12-21 11:40:00;2017-12-21 12:38:00;2017-12-21 14:27:00;0;nein;;
