Kuh ID;Kuh / Faerse;Gekalbt (ja / nein);Alarm Qualitaet;Alarm Zeitpunkt;Umstallzeit;Zeitraum Alarm-Umstallzeit [h]
3620;Kuh;ja;HA1h;2017-10-21 19:44:00;2017-10-24 13:30:00;65,76666666666667
3620;Kuh;ja;HA1h;2017-10-24 11:52:00;2017-10-24 13:30:00;1,6333333333333333
3620;Kuh;ja;HA2h;2017-10-24 12:52:00;2017-10-24 13:30:00;0,6333333333333333
9769;Kuh;nein;HA1h;2017-10-26 00:18:00;;
9769;Kuh;nein;HA2h;2017-10-26 00:19:00;;
9774;Kuh;ja;HA1h;2017-12-17 09:24:00;2017-12-19 17:30:00;56,1
9774;Kuh;ja;HA1h;2017-12-19 16:35:00;2017-12-19 17:30:00;0,9166666666666666
9774;Kuh;ja;HA2h;2017-12-19 17:35:00;2017-12-19 17:30:00;-0,08333333333333333
3635;Kuh;ja;HA1h;2017-11-02 23:52:00;2017-11-03 00:55:00;1,05
3635;Kuh;ja;HA2h;2017-11-03 00:52:00;2017-11-03 00:55:00;0,05
565;Kuh;ja;HA1h;2017-10-18 01:18:00;2017-10-21 21:30:00;92,2
565;Kuh;ja;HA1h;2017-10-21 21:52:00;2017-10-21 21:30:00;-0,36666666666666664
565;Kuh;ja;HA2h;2017-10-21 22:40:00;2017-10-21 21:30:00;-1,1666666666666667
2617;Kuh;nein;HA1h;2017-10-21 16:58:00;;
2617;Kuh;nein;HA2h;2017-10-21 17:25:00;;
570;Kuh;nein;HA1h;2017-11-06 11:55:00;;
2619;Kuh;nein;HA1h;2017-10-19 12:07:00;;
2621;Faerse;ja;HA1h;2017-10-30 01:16:00;2017-10-31 22:30:00;45,233333333333334
2621;Faerse;ja;HA1h;2017-10-30 20:26:00;2017-10-31 22:30:00;26,066666666666666
2621;Faerse;ja;HA1h;2017-10-31 21:46:00;2017-10-31 22:30:00;0,7333333333333333
2621;Faerse;ja;HA2h;2017-10-30 21:15:00;2017-10-31 22:30:00;25,25
2621;Faerse;ja;HA2h;2017-10-31 22:46:00;2017-10-31 22:30:00;-0,26666666666666666
2625;Faerse;ja;HA1h;2017-11-02 09:42:00;2017-11-02 10:45:00;1,05
2625;Faerse;ja;HA2h;2017-11-02 10:42:00;2017-11-02 10:45:00;0,05
9795;Kuh;ja;HA1h;2017-10-06 06:23:00;2017-10-06 06:30:00;0,11666666666666667
9795;Kuh;ja;HA2h;2017-10-06 07:21:00;2017-10-06 06:30:00;-0,85
1092;Kuh;ja;HA1h;2017-10-10 07:41:00;2017-10-10 09:45:00;2,066666666666667
1092;Kuh;ja;HA1h;2017-10-01 09:21:00;2017-10-10 09:45:00;216,4
1092;Kuh;ja;HA1h;2017-10-08 18:35:00;2017-10-10 09:45:00;39,166666666666664
1092;Kuh;ja;HA2h;2017-10-10 08:41:00;2017-10-10 09:45:00;1,0666666666666667
1092;Kuh;ja;HA2h;2017-10-08 19:35:00;2017-10-10 09:45:00;38,166666666666664
1093;Kuh;ja;HA1h;2017-10-15 16:04:00;2017-10-15 19:30:00;3,433333333333333
1093;Kuh;ja;HA2h;2017-10-15 17:15:00;2017-10-15 19:30:00;2,25
2631;Kuh;nein;HA1h;2017-10-24 11:16:00;;
2631;Kuh;nein;HA1h;2017-10-26 01:19:00;;
2631;Kuh;nein;HA2h;2017-10-24 12:27:00;;
2631;Kuh;nein;HA2h;2017-10-26 02:19:00;;
2633;Faerse;ja;HA1h;2017-11-04 01:19:00;2017-11-05 10:30:00;33,18333333333333
2633;Faerse;ja;HA1h;2017-11-05 08:53:00;2017-11-05 10:30:00;1,6166666666666667
2633;Faerse;ja;HA2h;2017-11-04 02:19:00;2017-11-05 10:30:00;32,18333333333333
2633;Faerse;ja;HA2h;2017-11-05 10:05:00;2017-11-05 10:30:00;0,4166666666666667
1099;Kuh;ja;HA1h;2017-10-07 21:39:00;2017-10-08 00:30:00;2,85
1099;Kuh;ja;HA1h;2017-10-08 01:45:00;2017-10-08 00:30:00;-1,25
1099;Kuh;ja;HA2h;2017-10-07 22:39:00;2017-10-08 00:30:00;1,85
3661;Kuh;ja;HA1h;2017-11-07 21:06:00;2017-11-10 16:30:00;67,4
3661;Kuh;ja;HA2h;2017-11-06 12:55:00;2017-11-10 16:30:00;99,58333333333333
2639;Faerse;ja;HA1h;2017-11-07 13:04:00;2017-11-07 17:30:00;4,433333333333334
2639;Faerse;ja;HA1h;2017-11-04 00:22:00;2017-11-07 17:30:00;89,13333333333334
2639;Faerse;ja;HA2h;2017-11-07 14:04:00;2017-11-07 17:30:00;3,433333333333333
2639;Faerse;ja;HA2h;2017-11-04 01:22:00;2017-11-07 17:30:00;88,13333333333334
1104;Kuh;nein;HA1h;2017-10-14 14:55:00;;
1104;Kuh;nein;HA1h;2017-10-15 06:50:00;;
1104;Kuh;nein;HA2h;2017-10-14 15:54:00;;
1104;Kuh;nein;HA2h;2017-10-15 07:49:00;;
2641;Faerse;ja;HA1h;2017-11-01 23:13:00;2017-11-09 04:30:00;173,28333333333333
2641;Faerse;ja;HA1h;2017-11-02 01:58:00;2017-11-09 04:30:00;170,53333333333333
2641;Faerse;ja;HA1h;2017-11-02 13:48:00;2017-11-09 04:30:00;158,7
