Kuh ID;Kuh / Faerse;Gekalbt (ja / nein);Erster SonT;Anzahl HA1-Alarme;HA1_1;HA1_2;HA1_3;HA1_4;HA1_5;HA1_6;HA1_7;HA1_8;HA1_9;HA1_10;HA1_11;HA1_12;HA1_13;HA1_14;HA1_15;HA1_16;HA1_17;HA1_18;Anzahl HA2-Alarme;HA2_1;HA2_2;HA2_3;HA2_4;HA2_5;HA2_6;HA2_7;HA2_8;HA2_9;Umstallzeit;dt HA1_1 [h];dt HA1_2 [h];dt HA1_3 [h];dt HA1_4 [h];dt HA1_5 [h];dt HA1_6 [h];dt HA1_7 [h];dt HA1_8 [h];dt HA1_9 [h];dt HA1_10 [h];dt HA1_11 [h];dt HA1_12 [h];dt HA1_13 [h];dt HA1_14 [h];dt HA1_15 [h];dt HA1_16 [h];dt HA1_17 [h];dt HA1_18 [h];dt HA2_1 [h];dt HA2_2 [h];dt HA2_3 [h];dt HA2_4 [h];dt HA2_5 [h];dt HA2_6 [h];dt HA2_7 [h];dt HA2_8 [h];dt HA2_9 [h]
2641;Faerse;ja;2017-10-22 15:05:00;18;2017-11-01 23:13:00;2017-11-02 01:58:00;2017-11-02 13:48:00;2017-11-02 16:37:00;2017-11-02 18:43:00;2017-11-03 06:35:00;2017-11-03 10:21:00;2017-11-05 11:26:00;2017-10-22 19:48:00;2017-10-25 09:53:00;2017-11-09 01:41:00;2017-10-24 11:13:00;2017-10-28 06:02:00;2017-10-28 22:08:00;2017-10-29 13:59:00;2017-10-29 22:47:00;2017-10-30 07:07:00;2017-10-30 11:36:00;9;2017-11-03 11:21:00;2017-11-03 16:10:00;2017-11-03 22:44:00;2017-10-25 10:53:00;2017-11-09 02:41:00;2017-10-24 12:12:00;2017-10-29 14:57:00;2017-10-29 23:46:00;2017-10-30 12:23:00;2017-11-09 04:30:00;173,28333333333333;170,53333333333333;158,7;155,88333333333333;153,78333333333333;141,91666666666666;138,15;89,06666666666666;416,7;354,6166666666667;2,816666666666667;377,28333333333336;286,46666666666664;270,3666666666667;254,51666666666668;245,71666666666667;237,38333333333333;232,9;137,15;132,33333333333334;125,76666666666667;353,6166666666667;1,8166666666666667;376,3;253,55;244,73333333333332;232,11666666666667
2642;Kuh;nein;2017-11-03 21:22:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Kuh;ja;2017-10-09 21:15:00;2;2017-10-12 10:21:00;2017-10-10 22:09:00;;;;;;;;;;;;;;;;;0;;;;;;;;;;2017-10-12 10:20:00;-0,016666666666666666;36,18333333333333;;;;;;;;;;;;;;;;;;;;;;;;;
2644;Kuh;nein;2017-10-23 09:12:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2645;Kuh;nein;2017-11-10 05:11:00;3;2017-11-11 03:35:00;2017-11-10 06:00:00;2017-11-10 10:55:00;;;;;;;;;;;;;;;;3;2017-11-11 04:35:00;2017-11-10 07:00:00;2017-11-10 11:55:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2648;Kuh;nein;2017-10-24 23:12:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
868;Kuh;nein;2017-10-12 14:11:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2650;Faerse;ja;2017-11-11 05:07:00;1;2017-11-11 07:49:00;;;;;;;;;;;;;;;;;;1;2017-11-11 08:49:00;;;;;;;;;2017-11-11 08:30:00;0,6833333333333333;;;;;;;;;;;;;;;;;;-0,31666666666666665;;;;;;;;
2575;Kuh;nein;2017-10-05 04:00:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2656;Kuh;nein;2017-11-09 23:11:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Kuh;ja;2017-11-10 23:23:00;1;2017-11-11 03:40:00;;;;;;;;;;;;;;;;;;1;2017-11-11 04:40:00;;;;;;;;;2017-11-11 06:30:00;2,8333333333333335;;;;;;;;;;;;;;;;;;1,8333333333333333;;;;;;;;
