Cow-ID;SonT;HA 1h;HA 2h;SoffT;Event;Event-Score;Moocall-Score;Date/Time of Parturition;Kommentar;Valid Calving;dt HA1 [min];dt HA2 [min];TP HA1;TP HA2;HA1 strict;FP HA1;FP HA2;FP soft;FN HA1;FN HA2;FN soft;;;
3909;;17.10.2017 00:34;17.10.2017 01:22;;;6;;24.10.2017 11:10;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
3909;;17.10.2017 04:58;;;;6;;24.10.2017 11:10;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
3909;;17.10.2017 08:25;;;;6;;24.10.2017 11:10;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
3909;;17.10.2017 11:00;17.10.2017 12:00;;;6;;24.10.2017 11:10;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
3909;;18.10.2017 02:21;;;18.10.2017 03:15;3;2;24.10.2017 11:10;;0;54;INVALID;0;0;0;1;0;0;0;0;0;;;
3909;18.10.2017 03:16;;18.10.2017 03:21;18.10.2017 09:00;18.10.2017 08:15;4;2;24.10.2017 11:10;;0;INVALID;294;0;0;0;0;1;0;0;0;0;;;
194;18.10.2017 10:10;;;;18.10.2017 12:20;3;1;27.10.2017 02:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
194;18.10.2017 12:21;;;18.10.2017 18:38;18.10.2017 17:36;4;2;27.10.2017 02:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3944;19.10.2017 01:20;;;19.10.2017 08:56;19.10.2017 07:11;4;2;26.10.2017 13:05;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1803;19.10.2017 07:15;;;;19.10.2017 09:05;4;2;23.10.2017 04:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2611;19.10.2017 09:06;19.10.2017 11:15;;19.10.2017 11:52;19.10.2017 11:02;2;1;24.10.2017 05:15;;0;-13;INVALID;0;0;0;1;0;0;0;0;0;;;
2603;19.10.2017 12:05;;;;19.10.2017 12:30;2;0;20.10.2017 10:10;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2603;19.10.2017 14:00;;;19.10.2017 18:08;19.10.2017 18:10;2;0;20.10.2017 10:10;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1223;20.10.2017 00:15;;;20.10.2017 13:46;20.10.2017 12:11;2;0;26.10.2017 07:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2619;20.10.2017 23:26;;;;21.10.2017 05:05;4;2;21.10.2017 15:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2611;21.10.2017 05:06;;;21.10.2017 08:51;21.10.2017 08:05;2;0;24.10.2017 05:15;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
527;21.10.2017 17:24;;;;23.10.2017 06:05;4;2;26.10.2017 02:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1223;23.10.2017 06:10;;;;24.10.2017 09:45;2;1;26.10.2017 07:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2631;24.10.2017 10:05;24.10.2017 11:16;24.10.2017 12:27;;24.10.2017 23:11;2;4;01.11.2017 15:25;;0;715;644;0;0;0;1;1;1;0;0;0;;;
2648;24.10.2017 23:12;;;;25.10.2017 07:03;3;0;27.10.2017 11:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2648;25.10.2017 07:04;;;;25.10.2017 10:02;4;2;27.10.2017 11:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
194;25.10.2017 10:08;;;;26.10.2017 02:30;4;2;27.10.2017 02:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1168;26.10.2017 02:21;;;;26.10.2017 03:12;2;0;01.11.2017 01:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3944;26.10.2017 03:20;26.10.2017 10:33;26.10.2017 11:33;26.10.2017 13:16;26.10.2017 12:30;1;1;26.10.2017 13:05;;1;117;5700000001;1;1;1;0;0;0;0;0;0;;;
1951;26.10.2017 14:20;26.10.2017 16:05;;26.10.2017 17:25;26.10.2017 20:11;2;0;09.11.2017 20:05;;0;#WERT!;INVALID;0;0;0;1;0;0;0;0;0;;;
9769;26.10.2017 23:07;;;;27.10.2017 06:04;4;2;10.11.2017 04:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1337;26.10.2017 06:05;27.10.2017 07:41;;27.10.2017 11:23;27.10.2017 13:10;2;0;29.10.2017 12:10;;0;329;INVALID;0;0;0;1;0;0;0;0;0;;;
1175;27.10.2017 15:16;;;;27.10.2017 16:21;2;0;01.11.2017 20:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1337;27.10.2017 16:24;28.10.2017 02:01;;;;6;;29.10.2017 12:10;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
1337;;28.10.2017 08:06;;;29.10.2017 11:30;1;0;29.10.2017 12:10;;1;1644;INVALID;0;0;0;0;0;0;0;1;0;;;
1337;;29.10.2017 11:06;29.10.2017 12:17;29.10.2017 13:05;;7;;29.10.2017 12:10;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2621;29.10.2017 15:07;30.10.2017 01:16;;;;6;;31.10.2017 23:45;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
2621;;30.10.2017 20:26;30.10.2017 21:15;;;6;;31.10.2017 23:45;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2621;;31.10.2017 21:46;31.10.2017 22:46;31.10.2017 23:12;31.10.2017 22:30;1;2;31.10.2017 23:45;;1;44;-16;1;0;0;0;0;0;0;0;0;;;
2635;31.10.2017 23:22;;;;01.11.2017 22:00;4;2;06.11.2017 12:25;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2641;01.11.2017 22:01;;;;01.11.2017 23:04;5;0;09.11.2017 04:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2641;01.11.2017 23:10;01.11.2017 23:13;;;;6;;09.11.2017 04:50;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
2641;;02.11.2017 01:58;;;;6;;09.11.2017 04:50;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
2641;;02.11.2017 13:48;;;;6;;09.11.2017 04:50;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
