ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;nein;;;;;;ja;HA2h;2017-10-02 03:03:00
2578;Faerse;ja;2017-10-02 02:00:00;2017-10-02 02:45:00;nein;;;;;;ja;HA2h;2017-09-30 10:31:00
2579;Kuh;nein;;;ja;2;2017-10-02 04:00:00;2017-10-02 17:00:00;2017-10-02 18:22:00;;nein;;
1045;Kuh;ja;2017-10-04 15:30:00;2017-10-04 16:20:00;ja;2;2017-09-29 16:15:00;2017-09-29 17:00:00;2017-09-29 20:09:00;;nein;;
1045;Kuh;ja;2017-10-04 15:30:00;2017-10-04 16:20:00;ja;2;2017-09-30 10:05:00;2017-09-30 12:30:00;2017-09-30 14:00:00;;nein;;
1045;Kuh;ja;2017-10-04 15:30:00;2017-10-04 16:20:00;ja;1;2017-10-02 13:00:00;2017-10-04 15:30:00;2017-10-04 17:09:00;;nein;;
1045;Kuh;ja;2017-10-04 15:30:00;2017-10-04 16:20:00;nein;;;;;;ja;HA1h;2017-10-04 14:33:00
1045;Kuh;ja;2017-10-04 15:30:00;2017-10-04 16:20:00;nein;;;;;;ja;HA2h;2017-10-04 15:21:00
2584;Kuh;nein;;;ja;2;2017-10-16 00:05:00;2017-10-16 02:05:00;2017-10-16 01:57:00;1;nein;;
2585;Kuh;nein;;;ja;4;2017-10-10 00:08:00;2017-10-13 04:05:00;;2;nein;;
2585;Kuh;nein;;;ja;5;2017-10-13 13:10:00;2017-10-14 08:03:00;;1;nein;;
2585;Kuh;nein;;;ja;3;2017-10-14 08:04:00;2017-10-14 13:03:00;;1;nein;;
2585;Kuh;nein;;;ja;3;2017-10-14 13:04:00;2017-10-15 12:10:00;;1;nein;;
2585;Kuh;nein;;;ja;9;2017-10-15 12:11:00;2017-10-18 07:04:00;;0;nein;;
2585;Kuh;nein;;;ja;4;2017-10-18 07:05:00;2017-10-18 09:05:00;2017-10-18 10:59:00;2;nein;;
2588;Kuh;nein;;;ja;2;2017-10-05 15:04:00;2017-10-06 22:00:00;;0;nein;;
