Cow-ID,SonT,HA 1h,HA 2h,SoffT,Event,Event-Score,Moocall-Score,Date/Time of Parturition,Kommentar
1882,05.10.2017 03:01,,,,05.10.2017 11:00,2,,09.10.2017 16:20,
369,05.10.2017 15:13,,,,05.10.2017 18:45,1,,05.10.2017 16:50,
1882,06.10.2017 00:00,,,,06.10.2017 11:00,2,,09.10.2017 16:20,
9847,06.10.2017 23:25,,,,07.10.2017 00:20,3,,09.10.2017 17:10,
9847,07.10.2017 00:21,,,,08.10.2017 05:00,4,2,09.10.2017 17:10,
9847,08.10.2017 05:05,,,,08.10.2017 18:08,4,2,09.10.2017 17:10,
3701,08.10.2017 18:15,,,,08.10.2017 19:16,2,0,14.10.2017 12:00,
9256,08.10.2017 19:53,08.10.2017 21:07,,,,6,,09.10.2017 06:55,
9256,,08.10.2017 23:18,09.10.2017 00:30,,,6,,09.10.2017 06:55,
9256,,09.10.2017 03:32,09.10.2017 04:32,09.10.2017 05:39,09.10.2017 04:30,1,4,09.10.2017 06:55,
8872,09.10.2017 07:44,,,09.10.2017 14:04,09.10.2017 12:45,2,0,10.11.2017 00:40,
8872,09.10.2017 13:12,09.10.2017 14:57,,,,6,,10.11.2017 00:40,
8872,,09.10.2017 20:40,,,,6,,10.11.2017 00:40,
8872,,09.10.2017 22:36,09.10.2017 23:36,10.10.2017 01:42,09.10.2017 23:30,1,2,10.10.2017 00:40,
3621,10.10.2017 02:12,,,,10.10.2017 13:15,4,2,12.10.2017 21:10,
83,10.10.2017 13:13,,,,10.10.2017 21:23,3,2,12.10.2017 09:50,
83,10.10.2017 21:24,,,,11.10.2017 04:15,4,2,12.10.2017 09:50,
3621,11.10.2017 05:12,,,11.10.2017 12:21,11.10.2017 11:00,3,0,12.10.2017 21:10,
1899,11.10.2017 17:05,11.10.2017 22:52,,,,6,,17.10.2017 15:00,
1899,,12.10.2017 00:08,,,,6,,17.10.2017 15:00,
1899,,12.10.2017 02:04,12.10.2017 03:04,,12.10.2017 07:15,3,2,17.10.2017 15:00,
1899,12.10.2017 07:16,12.10.2017 09:51,12.10.2017 10:51,,12.10.2017 14:10,4,2,17.10.2017 15:00,
868,12.10.2017 14:11,,,,13.10.2017 10:17,4,2,14.10.2017 08:10,
490,13.10.2017 10:19,,,,13.10.2017 13:25,2,1,16.10.2017 09:35,
1231,13.10.2017 14:15,13.10.2017 15:32,13.10.2017 16:32,13.10.2017 18:45,13.10.2017 17:50,1,2,13.10.2017 17:35,
1138,14.10.2017 02:17,14.10.2017 07:46,14.10.2017 08:46,,14.10.2017 07:35,1,2,14.10.2017 08:20,
9853,14.10.2017 10:15,,,,15.10.2017 12:21,4,2,15.10.2017 22:10,
3909,15.10.2017 12:24,,,,16.10.2017 00:08,3,0,24.10.2017 11:10,
3909,16.10.2017 00:09,16.10.2017 00:18,16.10.2017 01:30,,,6,,24.10.2017 11:10,
3909,,,16.10.2017 07:26,,,6,,24.10.2017 11:10,
3909,,,16.10.2017 12:05,16.10.2017 13:05,,6,,24.10.2017 11:10,
3909,,16.10.2017 19:32,16.10.2017 20:30,,,6,,24.10.2017 11:10,
3909,,17.10.2017 00:34,17.10.2017 01:22,,,6,,24.10.2017 11:10,
3909,,17.10.2017 04:58,,,,6,,24.10.2017 11:10,
3909,,17.10.2017 08:25,,,,6,,24.10.2017 11:10,
3909,,17.10.2017 11:00,17.10.2017 12:00,,,6,,24.10.2017 11:10,
3909,,18.10.2017 02:21,,,18.10.2017 03:15,3,2,24.10.2017 11:10,
3909,18.10.2017 03:16,,18.10.2017 03:21,18.10.2017 09:00,18.10.2017 08:15,4,2,24.10.2017 11:10,
194,18.10.2017 10:10,,,,18.10.2017 12:20,3,1,27.10.2017 02:00,
194,18.10.2017 12:21,,,18.10.2017 18:38,18.10.2017 17:36,4,2,27.10.2017 02:00,
